ID,Silcton ID,Pilot,Compass_condition,Date,Time Arrived,Time Done,Tasks_done,First_Building_in_model building
0000,NA,Yes,Yes,4/22/2021,4:33 PM,NA,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",
0001,NA,Yes,Yes,4/27/2021,11:00 AM,NA,"Training with and without goals, compass routes, pointing task",
0002,NA,Yes,Yes,4/28/2021,3:38 PM,NA,"Training with goals, Compass Routes and pointing task",
0003,0001,Yes (paid),Yes,6/30/2021,10:00 AM,11:00 AM,"Training without goals, Compass Routes, pointing task",
0004,0002,No,No,7/21/2021,9:03 AM,10:02 AM,"Training without goals, non-Compass Routes, pointing task",
0005,0003,No,Yes,7/21/2021,11:00 AM,11:47 AM,"Training without goals, Compass Routes, pointing task",
0006,0004,No,No,7/27/2021,11:02 AM,11:52 AM,"Training without goals, non-Compass Routes, pointing task",
0007,0005,No,Yes,7/29/2021,2:45 PM,3:37 PM,"Training without goals, Compass Routes, pointing task",
0008,0006,Yes,No,9/3/2021,11:47 AM,1:17 PM,"Training without goals, non-Compass Routes, pointing task",
0009,0007,yes,Yes,9/3/2021,1:45 PM,2:37 PM,"Training without goals, Compass Routes, pointing task",
0010,0008,yes,No,9/3/2021,3:16 PM,4:17 PM,"Training without goals, non-Compass Routes, pointing task",
0011,0009,yes,Yes,9/15/2021,11:38 AM,1:00 PM,"Training without goals, Compass Routes, pointing task",
0012,0010,yes,No,9/17/2021,1:30 PM,2:37 PM,"Training without goals, non-Compass Routes, pointing task",
0013,0011,No,Yes,9/22/2021,9:03 AM,10:01 AM,"Training without goals, Compass Routes, pointing task",
0014,0012,No,No,9/23/2021,9:04 AM,10:10 AM,"Training without goals, non-Compass Routes, pointing task",
0015,0013,No,Yes,9/23/2021,11:57 AM,12:59 AM,"Training without goals, Compass Routes, pointing task",
0016,0014,No,No,9/24/2021,8:54 AM,9:48 AM,"Training without goals, non-Compass Routes, pointing task",
0017,0015,No,Yes,9/24/2021,3:21 PM,4:25 PM,"Training without goals, Compass Routes, pointing task",
0018,motion sick,No,No,9/29/2021,9:15 AM,9:52 AM,"Training without goals, non-Compass Routes, pointing task",
0019,0016,No,Yes,9/29/2021,11:58 AM,1:19 PM,"Training without goals, Compass Routes, pointing task",
0020,0017,No,No,9/30/2021,3:04 PM,3:57 PM,"Training without goals, non-Compass Routes, pointing task",
0021,motion sick,No,Yes,10/1/2021,10:08 AM,10:43 AM,"Training without goals, Compass Routes, pointing task",
0022,0018,No,No,10/4/2021,Arrived at 8:50 AM Exp starting 9:27 AM,10:17 AM,"Training without goals, non-Compass Routes, pointing task",
