ID,Silcton ID,Pilot,Condition,Date,Time Arrived,Time Done,Tasks_done,First_Building_in_model building
2000,NA,Yes,Compass,4/22/2021,4:33 PM,NA,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",
2001,0004,Yes,Mountains,3/15/2022,1:50 PM,3:00 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2002,0005,Yes,Mountains,3/15/2022,3:30 PM,4:18 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2003,0006,Yes,Mountains,3/16/2022,10:30 AM,11:33 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2004,0007,Yes,Mountains,3/16/2022,12:00 PM,1:00 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2005,0008,Yes,Mountains,3/16/2022,1:40 AM,2:58 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2006,0009,Yes,Mountains,3/18/2022,1:00 AM,1:55 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2007,0010,No,Compass,3/23/2022,9:36 AM,10:52 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Snow Church
2008,0011,No,Mountains,3/23/2022,11:20 AM,12:30 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2009,n/a,No,Compass,3/23/2022,2:18 PM,2:58 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",n/a
2010,n/a,No,Mountains,3/25/2022,9:35 AM,n/a,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",n/a
2011,0012,No,Compass,3/25/2022,10:50 AM,11:50 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2012,2012,No,Mountains,3/29/2022,12:01 PM,1:08 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Tobler Museum
2013,2013,No,Compass,4/1/2022,9:35 AM,10:19 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Sauer Center
2014,2014,No,Mountains,4/1/2022,12:32 PM,1:37 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2015,2015,No,Compass,4/1/2022,3:55 AM,4:54 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2016,2016,No,Mountains,4/4/2022,12:30 PM,1:23 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2017,2017,No,Compass,4/5/2022,12:00 PM,1:26 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2018,2018,No,Mountains,4/6/2022,9:28 AM,10:29 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Harvey House
2019,2019,No,Compass,4/6/2022,1:00 PM,2:16 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Lynch Station
2020,n/a,No,Mountains,4/8/2022,9:27 AM,10:03 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",n/a
2021,2021,No,Compass,4/11/2022,9:30 AM,10:27 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2022,2022,No,Mountains,4/11/2022,10:56 AM,11:52 aM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Tobler Museum
2023,2023,No,Compass,4/11/2022,2:30 PM,3:06 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2024,2024,No,Mountains,4/12/2022,12:00 PM,12:51 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2025,2025,No,Compass,4/12/2022,1:20 PM,2:26 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Lynch Station
2026,2026,No,Mountains,4/13/2022,12:51 PM,1:40 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2027,2027,No,Compass,4/13/2022,2:35 PM,3:32 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2028,2028,No,Mountains,4/13/2022,3:47 PM,5:01 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
2029,2029,No,Compass,4/14/2022,2:30 PM,3:17 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2030,2030,No,Mountains,4/15/2022,9:35 AM,10:36 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2031,2031,No,Compass,4/15/2022,11:00 AM,11:43 AM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Batty House
2032,n/a,No,Compass,4/15/2022,12:42 PM,n/a,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",n/a
2033,2033,No,Compass,4/15/2022,4:45 PM,5:30 PM,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Golledge Hall
