,participant,start_landmark,target_landmark,point_order,participant_response,actual_direction,correct_absolute_error,within_between
0,13,Batty House,Lynch Station,0.0,-26.39288,-47.32798389151449,20.93510389151449,within_a
1,13,Batty House,Harris Hall,6.0,46.592690000000005,37.52863730402907,9.064052695970936,within_a
2,13,Batty House,Harvey House,3.0,29.31731,93.19423765817854,63.87692765817854,within_a
3,13,Batty House,Golledge Hall,4.0,39.36348,51.76768153806614,12.404201538066149,between
4,13,Batty House,Snow Church,1.0,66.8207,48.19947553081968,18.62122446918032,between
5,13,Batty House,Sauer Center,2.0,52.68534,30.331695097476896,22.353644902523108,between
6,13,Batty House,Tobler Museum,5.0,104.564,37.30802198129223,67.25597801870776,between
7,13,Lynch Station,Batty House,11.0,135.3379,130.6542463331721,4.683653666827894,within_a
8,13,Lynch Station,Harris Hall,9.0,5.658596,7.02170467090796,1.3631086709079598,within_a
9,13,Lynch Station,Harvey House,10.0,68.30658000000001,48.19593801359592,20.110641986404097,within_a
10,13,Lynch Station,Golledge Hall,7.0,46.89938,-3.323863738061074,50.22324373806107,between
11,13,Lynch Station,Snow Church,12.0,38.32176,-8.968174613078338,47.28993461307834,between
12,13,Lynch Station,Sauer Center,8.0,34.48265,-29.209033423777672,63.69168342377768,between
13,13,Lynch Station,Tobler Museum,13.0,62.21174,-17.950764420634226,80.16250442063422,between
14,13,Harris Hall,Batty House,20.0,89.26619000000001,83.35216568459656,5.914024315403452,within_a
15,13,Harris Hall,Lynch Station,19.0,116.0993,114.56279427841682,1.5365057215831823,within_a
16,13,Harris Hall,Harvey House,16.0,-7.740756,-2.146796903629346,5.593959096370654,within_a
17,13,Harris Hall,Golledge Hall,18.0,-101.545,-77.71082192465416,23.834178075345847,between
18,13,Harris Hall,Snow Church,15.0,-63.508790000000005,-84.72811220292517,21.21932220292517,between
19,13,Harris Hall,Sauer Center,14.0,-59.738240000000005,-110.6574336343256,50.91919363432558,between
20,13,Harris Hall,Tobler Museum,17.0,-80.06389,-99.95984558186652,19.89595558186653,between
21,13,Harvey House,Batty House,24.0,-30.748040000000003,-46.54689912218602,15.798859122186016,within_a
22,13,Harvey House,Lynch Station,22.0,5.619287,-32.282464292919606,37.901751292919606,within_a
23,13,Harvey House,Harris Hall,21.0,37.18717,-4.196894849005793,41.3840648490058,within_a
24,13,Harvey House,Golledge Hall,25.0,93.72655,64.95302540271734,28.77352459728266,between
25,13,Harvey House,Snow Church,27.0,94.66445,66.19140237525872,28.473047624741284,between
26,13,Harvey House,Sauer Center,26.0,87.41425,46.29205396301872,41.12219603698127,between
27,13,Harvey House,Tobler Museum,23.0,101.0774,42.14615862727205,58.931241372727946,between
28,13,Golledge Hall,Batty House,33.0,-121.7701,173.56946174631767,64.66043825368234,between
29,13,Golledge Hall,Lynch Station,30.0,-43.61087,-173.9683139144782,130.35744391447818,between
30,13,Golledge Hall,Harris Hall,31.0,-18.11663,176.2022806137976,165.68108938620242,between
31,13,Golledge Hall,Harvey House,32.0,-117.6447,139.93093678256204,102.424363217438,between
32,13,Golledge Hall,Snow Church,34.0,1.272571,1.2041344013640871,0.0684365986359127,within_b
33,13,Golledge Hall,Sauer Center,29.0,-75.1374,-76.21088344473237,1.073483444732375,within_b
34,13,Golledge Hall,Tobler Museum,28.0,-135.3722,-147.02844706156867,11.656247061568678,within_b
35,13,Snow Church,Batty House,41.0,-27.42513,-90.6470094165935,63.22187941659351,between
36,13,Snow Church,Lynch Station,38.0,-174.1224,-79.44851915391442,94.67388084608558,between
37,13,Snow Church,Harris Hall,39.0,178.4025,-88.09346154480704,93.50403845519293,between
38,13,Snow Church,Harvey House,36.0,-60.58119,-119.69295786010946,59.11176786010946,between
39,13,Snow Church,Golledge Hall,35.0,152.7926,-125.84311454991943,81.36428545008056,within_b
40,13,Snow Church,Sauer Center,40.0,2.079237,-0.2792623515826525,2.3584993515826524,within_b
41,13,Snow Church,Tobler Museum,37.0,-39.438190000000006,-63.69277616633404,24.25458616633403,within_b
42,13,Sauer Center,Batty House,43.0,-13.45455,6.74450862234883,20.19905862234883,between
43,13,Sauer Center,Lynch Station,45.0,154.0126,17.762054920259878,136.2505450797401,between
44,13,Sauer Center,Harris Hall,44.0,-150.3946,4.240040563502457,154.63464056350244,between
45,13,Sauer Center,Harvey House,42.0,-13.65612,-23.09134403283715,9.435224032837148,between
46,13,Sauer Center,Golledge Hall,47.0,-45.60636,-51.85616181338526,6.249801813385268,within_b
47,13,Sauer Center,Snow Church,48.0,-85.45818,-89.63525725921562,4.177077259215622,within_b
48,13,Sauer Center,Tobler Museum,46.0,2.757047,2.713388186025373,0.043658813974627,within_b
49,13,Tobler Museum,Batty House,53.0,8.306714,-171.00866513563608,179.31537913563608,between
50,13,Tobler Museum,Lynch Station,49.0,-38.51642,-156.23556254554433,117.71914254554432,between
51,13,Tobler Museum,Harris Hall,52.0,7.544338000000001,-173.2852643263075,179.1703976736925,between
52,13,Tobler Museum,Harvey House,54.0,-71.34458000000001,147.2481909967967,141.40722900320333,between
53,13,Tobler Museum,Golledge Hall,50.0,85.80048000000001,67.30353066020724,18.496949339792764,within_b
54,13,Tobler Museum,Snow Church,51.0,28.99986,38.782798085606366,9.782938085606368,within_b
55,13,Tobler Museum,Sauer Center,55.0,-0.9540861,-20.69981415519988,19.74572805519988,within_b
0,7,Batty House,Lynch Station,4.0,-45.811240000000005,-47.32798389151449,1.516743891514487,within_a
1,7,Batty House,Harris Hall,3.0,29.88423,37.52863730402907,7.64440730402907,within_a
2,7,Batty House,Harvey House,0.0,86.09881999999999,93.19423765817854,7.095417658178548,within_a
3,7,Batty House,Golledge Hall,1.0,57.00725,51.76768153806614,5.239568461933857,between
4,7,Batty House,Snow Church,5.0,37.76802,48.19947553081968,10.431455530819685,between
5,7,Batty House,Sauer Center,2.0,29.93509,30.331695097476896,0.3966050974768933,between
6,7,Batty House,Tobler Museum,6.0,31.12905,37.30802198129223,6.178971981292229,between
7,7,Lynch Station,Batty House,13.0,131.684,130.6542463331721,1.0297536668279008,within_a
8,7,Lynch Station,Harris Hall,11.0,2.693045,7.02170467090796,4.32865967090796,within_a
9,7,Lynch Station,Harvey House,12.0,43.5452,48.19593801359592,4.650738013595912,within_a
10,7,Lynch Station,Golledge Hall,7.0,14.80824,-3.323863738061074,18.132103738061076,between
11,7,Lynch Station,Snow Church,9.0,-6.347736,-8.968174613078338,2.620438613078337,between
12,7,Lynch Station,Sauer Center,10.0,-22.70271,-29.209033423777672,6.506323423777673,between
13,7,Lynch Station,Tobler Museum,8.0,-9.638862,-17.950764420634226,8.311902420634226,between
14,7,Harris Hall,Batty House,18.0,84.30228000000001,83.35216568459656,0.9501143154034536,within_a
15,7,Harris Hall,Lynch Station,14.0,117.0048,114.56279427841682,2.442005721583186,within_a
16,7,Harris Hall,Harvey House,17.0,-3.910312,-2.146796903629346,1.763515096370654,within_a
17,7,Harris Hall,Golledge Hall,19.0,-59.94724,-77.71082192465416,17.763581924654154,between
18,7,Harris Hall,Snow Church,20.0,-86.26045,-84.72811220292517,1.532337797074831,between
19,7,Harris Hall,Sauer Center,16.0,-93.90849,-110.6574336343256,16.748943634325585,between
20,7,Harris Hall,Tobler Museum,15.0,-83.64796,-99.95984558186652,16.311885581866534,between
21,7,Harvey House,Batty House,26.0,-49.47278,-46.54689912218602,2.925880877813981,within_a
22,7,Harvey House,Lynch Station,23.0,-11.52489,-32.282464292919606,20.757574292919607,within_a
23,7,Harvey House,Harris Hall,24.0,11.71048,-4.196894849005793,15.907374849005794,within_a
24,7,Harvey House,Golledge Hall,25.0,82.26989,64.95302540271734,17.31686459728266,between
25,7,Harvey House,Snow Church,22.0,60.57321,66.19140237525872,5.618192375258722,between
26,7,Harvey House,Sauer Center,27.0,47.91986,46.29205396301872,1.6278060369812763,between
