participant,start_landmark,target_landmark,point_order,participant_response,actual_direction,correct_absolute_error,within_between
0029,Batty House,Lynch Station,2.0,-23.21489,-47.32798389151449,24.11309389151449,within_a
0029,Batty House,Harris Hall,4.0,44.21867,37.52863730402907,6.690032695970935,within_a
0029,Batty House,Harvey House,6.0,88.13569,93.19423765817854,5.05854765817854,within_a
0029,Batty House,Golledge Hall,0.0,-12.999039999999999,51.76768153806614,64.76672153806614,between
0029,Batty House,Snow Church,5.0,-4.924378,48.19947553081968,53.12385353081968,between
0029,Batty House,Sauer Center,3.0,-38.69999,30.331695097476896,69.0316850974769,between
0029,Batty House,Tobler Museum,1.0,-37.25633,37.30802198129223,74.56435198129222,between
0029,Lynch Station,Batty House,9.0,138.7152,130.6542463331721,8.060953666827913,within_a
0029,Lynch Station,Harris Hall,11.0,8.707006,7.02170467090796,1.6853013290920398,within_a
0029,Lynch Station,Harvey House,10.0,46.19761,48.195938013595914,1.9983280135959163,within_a
0029,Lynch Station,Golledge Hall,13.0,-148.3882,-3.323863738061074,145.06433626193893,between
0029,Lynch Station,Snow Church,12.0,-90.33081999999999,-8.968174613078338,81.36264538692166,between
0029,Lynch Station,Sauer Center,8.0,-137.8105,-29.209033423777672,108.60146657622232,between
0029,Lynch Station,Tobler Museum,7.0,-168.0497,-17.950764420634226,150.0989355793658,between
0029,Harris Hall,Batty House,16.0,87.97111,83.35216568459656,4.618944315403439,within_a
0029,Harris Hall,Lynch Station,18.0,103.6247,114.56279427841682,10.938094278416813,within_a
0029,Harris Hall,Harvey House,15.0,-10.13739,-2.146796903629346,7.990593096370654,within_a
0029,Harris Hall,Golledge Hall,19.0,136.208,-77.71082192465416,146.08117807534586,between
0029,Harris Hall,Snow Church,20.0,153.2638,-84.72811220292517,122.00808779707484,between
0029,Harris Hall,Sauer Center,17.0,150.6102,-110.65743363432559,98.73236636567441,between
0029,Harris Hall,Tobler Museum,14.0,128.5182,-99.95984558186653,131.52195441813348,between
0029,Harvey House,Batty House,23.0,-44.14265,-46.54689912218602,2.404249122186016,within_a
0029,Harvey House,Lynch Station,25.0,-24.77415,-32.282464292919606,7.508314292919607,within_a
0029,Harvey House,Harris Hall,21.0,-8.838403,-4.196894849005793,4.641508150994206,within_a
0029,Harvey House,Golledge Hall,27.0,-35.52847,64.95302540271734,100.48149540271734,between
0029,Harvey House,Snow Church,22.0,9.186327,66.19140237525872,57.00507537525872,between
0029,Harvey House,Sauer Center,26.0,-25.20134,46.29205396301872,71.49339396301872,between
0029,Harvey House,Tobler Museum,24.0,-33.92669,42.14615862727205,76.07284862727205,between
0029,Golledge Hall,Batty House,31.0,98.96381,173.56946174631767,74.60565174631768,between
0029,Golledge Hall,Lynch Station,30.0,98.28097,-173.9683139144782,87.75071608552184,between
0029,Golledge Hall,Harris Hall,32.0,91.84194000000001,176.2022806137976,84.36034061379759,between
0029,Golledge Hall,Harvey House,28.0,112.2678,139.93093678256204,27.66313678256205,between
0029,Golledge Hall,Snow Church,29.0,-2.062794,1.2041344013640871,3.266928401364087,within_b
0029,Golledge Hall,Sauer Center,34.0,-73.76994,-76.21088344473237,2.440943444732369,within_b
0029,Golledge Hall,Tobler Museum,33.0,-127.8473,-147.02844706156867,19.181147061568666,within_b
0029,Snow Church,Batty House,38.0,-163.7185,-90.6470094165935,73.0714905834065,between
0029,Snow Church,Lynch Station,39.0,-157.6452,-79.44851915391442,78.19668084608557,between
0029,Snow Church,Harris Hall,35.0,-160.4582,-88.09346154480704,72.36473845519296,between
0029,Snow Church,Harvey House,36.0,-143.8826,-119.69295786010946,24.189642139890537,between
0029,Snow Church,Golledge Hall,40.0,-125.1593,-125.84311454991945,0.6838145499194468,within_b
0029,Snow Church,Sauer Center,37.0,4.964951,-0.27926235158265256,5.244213351582653,within_b
0029,Snow Church,Tobler Museum,41.0,-61.962430000000005,-63.692776166334035,1.73034616633403,within_b
0029,Sauer Center,Batty House,43.0,-38.787079999999996,6.74450862234883,45.53158862234883,between
0029,Sauer Center,Lynch Station,48.0,-35.25546,17.762054920259878,53.01751492025988,between
0029,Sauer Center,Harris Hall,42.0,-63.97537,4.240040563502457,68.21541056350246,between
0029,Sauer Center,Harvey House,47.0,-44.586420000000004,-23.09134403283715,21.495075967162855,between
0029,Sauer Center,Golledge Hall,44.0,-50.96137,-51.85616181338526,0.894791813385261,within_b
0029,Sauer Center,Snow Church,46.0,-86.65039,-89.63525725921562,2.984867259215619,within_b
0029,Sauer Center,Tobler Museum,45.0,5.578719,2.713388186025373,2.8653308139746274,within_b
0029,Tobler Museum,Batty House,52.0,110.9963,-171.00866513563608,77.9950348643639,between
0029,Tobler Museum,Lynch Station,49.0,132.4599,-156.23556254554433,71.30453745445567,between
0029,Tobler Museum,Harris Hall,54.0,101.2709,-173.2852643263075,85.44383567369249,between
0029,Tobler Museum,Harvey House,51.0,109.9147,147.24819099679667,37.33349099679667,between
0029,Tobler Museum,Golledge Hall,55.0,82.71658000000001,67.30353066020724,15.413049339792764,within_b
0029,Tobler Museum,Snow Church,53.0,33.65198,38.782798085606366,5.130818085606364,within_b
0029,Tobler Museum,Sauer Center,50.0,-2.6663099999999997,-20.69981415519988,18.033504155199882,within_b
