"participant","date","model number","building","x","y","error"
"0003","2021-06-30 14:56:53 UTC","0","Lynch Station","19","232","108.2266141020775"
"0003","2021-06-30 14:56:53 UTC","0","Harris Hall","577","115","378.6357088284199"
"0003","2021-06-30 14:56:53 UTC","0","Golledge Hall","400","23","314.1973901864877"
"0003","2021-06-30 14:56:53 UTC","0","Harvey House","92","455","204.215572373901"
"0003","2021-06-30 14:56:53 UTC","0","Snow Church","171","140","548.8624600025037"
"0003","2021-06-30 14:56:53 UTC","0","Sauer Center","347","244","366.61287484211465"
"0003","2021-06-30 14:56:53 UTC","0","Tobler Museum","489","417","295.0271173977063"
"0003","2021-06-30 14:56:53 UTC","0","Batty House","612","277","585.0213671311502"
"0004","2021-07-22 13:59:22 UTC","0","Batty House","42","417","145.7737973711325"
"0004","2021-07-22 13:59:22 UTC","0","Sauer Center","289","76","343.41956845817623"
"0004","2021-07-22 13:59:22 UTC","0","Lynch Station","65","295","179.02513789968157"
"0004","2021-07-22 13:59:22 UTC","0","Golledge Hall","522","330","57.3149195236284"
"0004","2021-07-22 13:59:22 UTC","0","Tobler Museum","47","89","447.21918563496354"
"0004","2021-07-22 13:59:22 UTC","0","Snow Church","509","172","209.61393083476108"
"0004","2021-07-22 13:59:22 UTC","0","Harvey House","402","402","136.20939761998804"
"0004","2021-07-22 13:59:22 UTC","0","Harris Hall","317","311","132.7742444904131"
"0005","2021-07-22 15:44:42 UTC","0","Batty House","95","460","199.9199839935968"
"0005","2021-07-22 15:44:42 UTC","0","Lynch Station","77","287","175.4821928287882"
"0005","2021-07-22 15:44:42 UTC","0","Harris Hall","340","334","165.19382555047267"
"0005","2021-07-22 15:44:42 UTC","0","Harvey House","478","436","190.41270965983338"
"0005","2021-07-22 15:44:42 UTC","0","Golledge Hall","506","202","106.23088063270491"
"0005","2021-07-22 15:44:42 UTC","0","Sauer Center","392","30","234.33736364481018"
"0005","2021-07-22 15:44:42 UTC","0","Snow Church","681","99","111.6288493177279"
"0005","2021-07-22 15:44:42 UTC","0","Tobler Museum","189","159","306.2433672751134"
"0006","2021-07-27 15:42:41 UTC","0","Batty House","31","269","5.0"
"0006","2021-07-27 15:42:41 UTC","0","Lynch Station","79","162","77.02596964660685"
"0006","2021-07-27 15:42:41 UTC","0","Harris Hall","310","369","171.67993476233616"
"0006","2021-07-27 15:42:41 UTC","0","Golledge Hall","502","361","93.50935782048768"
"0006","2021-07-27 15:42:41 UTC","0","Snow Church","625","223","92.76313923105448"
"0006","2021-07-27 15:42:41 UTC","0","Sauer Center","448","104","202.80532537386685"
"0006","2021-07-27 15:42:41 UTC","0","Tobler Museum","280","186","222.40728405337808"
"0006","2021-07-27 15:42:41 UTC","0","Harvey House","184","372","157.69908052997647"
"0007","2021-07-29 19:35:37 UTC","0","Batty House","61","490","220.6354459283458"
"0007","2021-07-29 19:35:37 UTC","0","Lynch Station","10","274","150.0133327407934"
"0007","2021-07-29 19:35:37 UTC","0","Harris Hall","262","276","68.62215385719105"
"0007","2021-07-29 19:35:37 UTC","0","Harvey House","429","434","144.31216164966833"
"0007","2021-07-29 19:35:37 UTC","0","Golledge Hall","536","239","59.0592922409336"
"0007","2021-07-29 19:35:37 UTC","0","Snow Church","645","87","137.71347065556077"
"0007","2021-07-29 19:35:37 UTC","0","Sauer Center","457","10","168.07438829280326"
"0007","2021-07-29 19:35:37 UTC","0","Tobler Museum","369","162","130.29197979921864"
"0008","2021-09-03 17:15:46 UTC","0","Batty House","628","103","624.3092182564662"
"0008","2021-09-03 17:15:46 UTC","0","Lynch Station","552","145","540.408179064677"
"0008","2021-09-03 17:15:46 UTC","0","Golledge Hall","367","193","220.0295434708712"
"0008","2021-09-03 17:15:46 UTC","0","Harris Hall","235","111","116.72617529928752"
"0008","2021-09-03 17:15:46 UTC","0","Harvey House","161","453","136.79546776117988"
"0008","2021-09-03 17:15:46 UTC","0","Snow Church","215","278","506.2904304843219"
"0008","2021-09-03 17:15:46 UTC","0","Sauer Center","396","378","437.6871028485989"
"0008","2021-09-03 17:15:46 UTC","0","Tobler Museum","554","322","209.0956718825141"
"0009","2021-09-03 18:35:20 UTC","0","Lynch Station","46","190","74.24284477308234"
"0009","2021-09-03 18:35:20 UTC","0","Batty House","11","344","73.7563556583431"
"0009","2021-09-03 18:35:20 UTC","0","Golledge Hall","512","248","67.47592163134935"
"0009","2021-09-03 18:35:20 UTC","0","Harvey House","351","479","57.3149195236284"
"0009","2021-09-03 18:35:20 UTC","0","Harris Hall","310","255","99.32774033471213"
"0009","2021-09-03 18:35:20 UTC","0","Snow Church","683","192","35.4682957019364"
"0009","2021-09-03 18:35:20 UTC","0","Sauer Center","544","46","90.78546139112804"
"0009","2021-09-03 18:35:20 UTC","0","Tobler Museum","410","140","84.92938243034621"
"0010","2021-09-03 20:19:44 UTC","0","Golledge Hall","337","473","290.9518860567843"
"0010","2021-09-03 20:19:44 UTC","0","Lynch Station","154","29","170.84788555905513"
"0010","2021-09-03 20:19:44 UTC","0","Snow Church","638","315","134.84806264830058"
