"participant","date","model number","building","x","y","error"
"","2022-04-15 17:18:38 UTC","0","Tobler Museum","","",""
"","2022-04-15 17:18:38 UTC","0","Sauer Center","","",""
"","2022-04-15 17:18:38 UTC","0","Snow Church","","",""
"","2022-04-15 17:18:38 UTC","0","Golledge Hall","","",""
"","2022-04-15 17:18:38 UTC","0","Harvey House","","",""
"","2022-04-15 17:18:38 UTC","0","Harris Hall","","",""
"","2022-04-15 17:18:38 UTC","0","Lynch Station","","",""
"","2022-04-15 17:18:38 UTC","0","Batty House","","",""
"","2022-04-01 14:09:36 UTC","0","Sauer Center","13","205","643.8509144204114"
"","2022-04-01 14:09:36 UTC","0","Golledge Hall","588","224","71.16881339463234"
"","2022-04-01 14:09:36 UTC","0","Snow Church","385","48","366.3468302032925"
"","2022-04-01 14:09:36 UTC","0","Tobler Museum","129","416","467.9016990779153"
"","2022-04-01 14:09:36 UTC","0","Lynch Station","633","419","687.5070908725232"
"","2022-04-01 14:09:36 UTC","0","Harvey House","373","485","79.0"
"","2022-04-01 14:09:36 UTC","0","Harris Hall","699","348","499.13925912514634"
"","2022-04-01 14:09:36 UTC","0","Batty House","628","514","647.892738036166"
"","2022-03-29 17:11:27 UTC","0","Batty House","","",""
"","2022-03-29 17:11:27 UTC","0","Lynch Station","","",""
"","2022-03-29 17:11:27 UTC","0","Harris Hall","","",""
"","2022-03-29 17:11:27 UTC","0","Harvey House","","",""
"","2022-03-29 17:11:27 UTC","0","Golledge Hall","","",""
"","2022-03-29 17:11:27 UTC","0","Snow Church","","",""
"","2022-03-29 17:11:27 UTC","0","Sauer Center","","",""
"","2022-03-29 17:11:27 UTC","0","Tobler Museum","","",""
"0003","2022-03-14 14:38:32 UTC","0","Snow Church","","",""
"0003","2022-03-14 14:38:32 UTC","0","Tobler Museum","","",""
"0003","2022-03-14 14:38:32 UTC","0","Batty House","","",""
"0003","2022-03-14 14:38:32 UTC","0","Golledge Hall","","",""
"0003","2022-03-14 14:38:32 UTC","0","Sauer Center","","",""
