ID,Silcton ID,Pilot,Compass_condition,Date,Time Arrived,Time Done,Experimenter_initials,,Tasks_done,Notes,First_Building_in_model building
0,NA,Yes,Yes,4/22/2021,4:33 PM,NA,ZB,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","This is where you will put notes about the subjects, and anything that may be worth noting during the experiment.",
1,NA,Yes,Yes,4/27/2021,11:00 AM,NA,ZB,,"Training with and without goals, compass routes, pointing task",did both training environment with and without goals.,
2,NA,Yes,Yes,4/28/2021,3:38 PM,NA,ZB,,"Training with goals, Compass Routes and pointing task","Decided to do just training task with goals. Took about a minute to do all verbal instructions while in environment.  Was unable to point to signs, gem, etc, but I verbally confirmed she saw them.  Did look at the compass on occasion while walking along routes.  Took a break at 4:05 after finished with Scene A.  Took a break at 4:12 after finished with Scene B.  Took a brief break at 4:18.  Said that she is getting a bit dizzy from not eating today, so I decided to just have her walk to finish of C1 and not back to start.  Got to finish line of C1 at 4:22.  Taking a brief break before C2. C2 will also just walk to finish and that will be all. End C2 at 4:27. Pointing task started at 4:32. Feelings of nausea. Left Treadmill at 4:42 to use bathroom, going to just end pointing task.  Ended at Sauer Center with Harris Hall as the requested pointing location.",
3,1,Yes (paid),Yes,6/30/2021,10:00 AM,11:00 AM,ZB,,"Training without goals, Compass Routes, pointing task","Instructions at beginning of each scene.  Also told that compass points along start up of route. Does NOT look at compass often. ""Completely random to me"". Buillding task ID: 0001",
4,2,No,No,7/21/2021,9:03 AM,10:02 AM,ZB,,"Training without goals, non-Compass Routes, pointing task","Had to restart for hitting enter too many times. Very good at walking in the treadmill. Seems to have a memorization method, counting on fingers, saying names of places, confirming at end of walk with herself. Have her holding one controller to make it same as compass people. Likes to stop and look at places. She would walk back on some portions, but not all the way. A-->B-->C2-->C1. Virtual Silcton ",
5,3,No,Yes,7/21/2021,11:00 AM,11:47 AM,ZB,,"Training without goals, Compass Routes, pointing task","A-->B-->C2-->C1.  Very quick finishing all the tasks. Did not use compass a whole lot, but she did know it was there and glanced at it occasionally.",
6,4,No,No,7/27/2021,11:02 AM,11:52 AM,ZB,,"Training without goals, non-Compass Routes, pointing task","Orange gem changes height based on calibration and height of participant (what its supposed to do though, i.e. taller people it should appear lower, shorter people it should appear higher). Moving rather quickly through the environment. Holds controller in dominant hand. For people with smaller waistlines, the harness is a bit loose, which can cause people to walk a bit slanted. Just told them that they should try to stay aligned in the harness.",
7,5,No,Yes,7/29/2021,2:45 PM,3:37 PM,ZB,,"Training without goals, Compass Routes, pointing task",Got here early. Using the compass much more than other participants that have used the compass (at least on his first route). Quick on the routes. ,
8,6,Yes,No,9/3/2021,11:47 AM,1:17 PM,ZB,,"Training without goals, non-Compass Routes, pointing task","Running Ece. Using medium harness. A --> B --> C1 --> C2. Leaning on ring more, walking is not too similar to regular locomotion. Very slowly going through the environment. Went backwards to double check a few buildings. Stopped walking tasks at 1:00.",
9,7,yes,Yes,9/3/2021,1:45 PM,2:37 PM,EY,,"Training without goals, Compass Routes, pointing task",Using large harness. Stopped walking task at 2:27.,
10,8,yes,No,9/3/2021,3:16 PM,4:17 PM,EY,,"Training without goals, non-Compass Routes, pointing task","Using medium harness. Omni walking max speed first normal (15), second route 25 and third and fourth 35.",
11,9,yes,Yes,9/15/2021,11:38 AM,1:00 PM,EY,,"Training without goals, Compass Routes, pointing task",first training and first regular route thrown out. Went backwards to double check a building. Went back on the first connecting route after finish. Looks at the compass. Looks at the compass for pointing task.,
12,10,yes,No,9/17/2021,1:30 PM,2:37 PM,EY,,"Training without goals, non-Compass Routes, pointing task",Tried to walk off the route couple of times to read the signs. Looks around and does not only focus on the building names. Asked if he needs to hold the controller or not. Uses his hands to support the walking movement with the harness. Supported his pointer with both hands for the pointing task. ,
