"","participant","X.2","X.1","X","between","within","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","Condition","First_Building_in_model.building","Pilot","sex","first_route","Overall_angle_corrected","Batty_angle_corrected","Golledge_angle_corrected","first_connecting_route","correct_absolute_error_other","condition_all","exp","Video_Game_Play","know_how_use","experienced","easy_use","compass_use"
"1",2008,57,57,1,28.9013515884775,11.2714427895321,21.3456763889295,0.723658259985186,-42.9689469236222,0.950553909944764,-33.9957746634865,0.62100985656985,-32.2816517153712,"Mountains","Batty House","No","male","Golledge",-42.9689469236222,-33.9957746634865,-32.2816517153712,"C2",114.957016,"Mountains","Exp2","Yes",67,27,41,45
"2",2011,58,58,2,69.1109552778601,12.4486488479968,44.8271096650615,0.469343156435849,214.519640280629,0.272677799360105,214.158256841338,0.908200210259281,-62.4323179250837,"Compass","Golledge Hall","No","female","Golledge",214.519640280629,214.158256841338,-62.4323179250837,"C2",103.1766455,"Compass","Exp2","No",64,28,32,41.3333333333333
"3",2012,59,59,3,33.5418482389546,11.5695604015853,24.1251534515106,0.752081292037452,171.456506122322,0.782032689822551,148.764951466776,0.925122535498623,203.755047213815,"Mountains","Tobler Museum","No","female","Batty",171.456506122322,148.764951466776,203.755047213815,"C2",20.756635,"Mountains","Exp2","No",16,0,0,5.33333333333333
"4",2013,60,60,4,45.0564869163559,40.5497627733401,43.1250337122063,0.463421652624154,236.282594502035,0.234647522001201,108.135858120177,0.897262949509448,268.625405047069,"Compass","Sauer Center","No","female","Golledge",236.282594502035,108.135858120177,268.625405047069,"C1",65.781685,"Compass","Exp2","No",94,76,17,62.3333333333333
"5",2014,61,61,5,15.1052203656095,5.95524114747104,11.183800700693,NA,NA,NA,NA,NA,NA,"Mountains","Batty House","No","female","Batty",NA,NA,NA,"C2",25.02702375,"Mountains","Exp2","No",5,0,5,3.33333333333333
"6",2015,62,62,6,45.0779591432154,38.7603906187939,42.3704297756062,NA,NA,NA,NA,NA,NA,"Compass","Golledge Hall","No","female","Golledge",NA,NA,NA,"C1",87.90974925,"Compass","Exp2","No",28,0,27,18.3333333333333
"7",2016,63,63,7,68.5548592819122,43.5802742695709,57.8514657051945,0.446386410620285,-25.7144130369575,0.710336182730488,-52.1467385958733,0.241801889030627,-47.2899928609911,"Mountains","Golledge Hall","No","female","Golledge",-25.7144130369575,-52.1467385958733,-47.2899928609911,"C1",114.03259625,"Mountains","Exp2","No",0,0,0,0
"8",2017,64,64,8,23.6806382624421,7.12587808873265,16.5857410451381,0.80190207110685,97.3429906627443,0.934032025618556,141.385190163628,0.906110510079323,100.612720136793,"Compass","Batty House","No","male","Golledge",97.3429906627443,141.385190163628,100.612720136793,"C1",10.238385,"Compass","Exp2","Yes",100,10,31,47
"9",2018,65,65,9,46.9061591112651,25.7433302700178,37.8363753221591,0.82704958900016,162.739681212113,0.762311746421788,174.286633098588,0.864346307991135,177.065144595075,"Mountains","Harvey House","No","female","Golledge",162.739681212113,174.286633098588,177.065144595075,"C2",110.25636375,"Mountains","Exp2","No",91,10,12,37.6666666666667
"10",2019,66,66,10,25.9278984230065,13.2365401517381,20.4887448781772,0.882168644813976,162.42962075068,0.67622283579714,148.440319903033,0.868951480915937,189.417302445101,"Compass","Lynch Station","No","male","Golledge",162.42962075068,148.440319903033,189.417302445101,"C2",24.70847625,"Compass","Exp2","No",100,100,85,95
"11",2021,67,67,11,35.2973968569926,13.8750952315246,26.1164104460777,0.550333168047852,129.373157236967,0.87312459198684,145.278731133568,0.828095466003593,21.0103902875662,"Compass","Batty House","No","female","Batty",129.373157236967,145.278731133568,21.0103902875662,"C2",34.423988,"Compass","Exp2","No",80,71,71,74
"12",2022,68,68,12,66.670799897166,15.2825597828999,44.6472684196234,0.0874284613155521,49.5019611061827,0.712602829098138,-32.5242868330443,0.796899821054428,-19.9888279141452,"Mountains","Tobler Museum","No","male","Golledge",49.5019611061827,-32.5242868330443,-19.9888279141452,"C2",90.69282,"Mountains","Exp2","Yes",66,68,41,58.3333333333333
"13",2023,69,69,13,87.7618675810897,96.236411467678,91.3938149610561,0.381383871621692,26.5929948709703,0.210110796276101,46.0510894488586,0.172193629359004,91.4893716236047,"Compass","Golledge Hall","No","female","Golledge",26.5929948709703,46.0510894488586,91.4893716236047,"C2",106.56594875,"Compass","Exp2","No",100,0,0,33.3333333333333
"14",2024,70,70,14,53.4440794374616,28.4553419603233,42.7346205186881,0.0668504187393015,67.5301892305566,0.500873667953413,-29.8631565332597,0.897999510379657,165.34910281682,"Mountains","Golledge Hall","No","female","Golledge",67.5301892305566,-29.8631565332597,165.34910281682,"C2",71.827535,"Mountains","Exp2","No",56,57,20,44.3333333333333
"15",2025,71,71,15,5.76997089938436,4.74050454045756,5.32877103127287,0.859510454007949,124.669319274466,0.920716650961439,138.001851829638,0.87972874182673,89.3370362288369,"Compass","Lynch Station","No","male","Batty",124.669319274466,138.001851829638,89.3370362288369,"C1",8.404511825,"Compass","Exp2","Yes",91,63,75,76.3333333333333
"16",2026,72,72,16,64.800994165809,30.3425263971896,50.0330794078293,0.383367188204422,52.043626998448,0.336407909108231,-16.6262944248234,0.197953659543763,174.692083552297,"Mountains","Batty House","No","female","Batty",52.043626998448,-16.6262944248234,174.692083552297,"C2",108.2366175,"Mountains","Exp2","No",69,34,18,40.3333333333333
"17",2027,73,73,17,78.985617688471,81.3653644998825,80.0055091790759,NA,NA,NA,NA,NA,NA,"Compass","Batty House","No","female","Batty",NA,NA,NA,"C1",50.17560625,"Compass","Exp2","Yes",67,69,70,68.6666666666667
