"","participant","know_how_use","experienced","easy_use","compass_use"
"4",0,52,51,51,51.3333333333333
"5",2007,12,0,0,4
"6",2008,67,27,41,45
"7",2011,64,28,32,41.3333333333333
"8",2012,16,0,0,5.33333333333333
"10",2013,94,76,17,62.3333333333333
"11",2014,5,0,5,3.33333333333333
"12",2015,28,0,27,18.3333333333333
"13",2016,0,0,0,0
"14",2017,100,10,31,47
"15",2018,91,10,12,37.6666666666667
"16",2019,100,100,85,95
"17",2021,80,71,71,74
"18",2022,66,68,41,58.3333333333333
"19",2023,100,0,0,33.3333333333333
"20",2024,56,57,20,44.3333333333333
"21",2025,91,63,75,76.3333333333333
"22",2026,69,34,18,40.3333333333333
"23",2027,67,69,70,68.6666666666667
"24",2028,9,0,5,4.66666666666667
"25",2029,100,100,100,100
"26",2030,90,55,62,69
"27",2031,0,0,0,0
"28",2033,15,28,0,14.3333333333333
"29",2034,68,26,58,50.6666666666667
"30",2035,50,20,40,36.6666666666667
"31",2036,48,20,24,30.6666666666667
"32",2037,17,44,20,27
"33",2038,51,28,51,43.3333333333333
"34",2039,8,3,0,3.66666666666667
"35",2040,0,0,0,0
"36",2041,66,27,37,43.3333333333333
"37",2042,100,90,43,77.6666666666667
"38",2043,100,100,53,84.3333333333333
"39",2044,42,41,42,41.6666666666667
"40",2045,100,95,85,93.3333333333333
"41",2046,100,100,95,98.3333333333333
"42",2047,94,90,54,79.3333333333333
"43",2048,60,5,15,26.6666666666667
"44",2049,19,19,18,18.6666666666667
"45",2050,80,40,20,46.6666666666667
"46",2051,71,79,42,64
"47",2052,25,0,0,8.33333333333333
"48",2053,59,18,15,30.6666666666667
"49",2054,0,0,0,0
"50",2056,100,60,60,73.3333333333333
"51",2057,100,100,51,83.6666666666667
"52",2058,100,20,70,63.3333333333333
"53",2059,9,0,0,3
"54",2060,13,14,16,14.3333333333333
"55",2061,100,100,70,90
"56",2062,20,20,21,20.3333333333333
"57",2063,100,80,0,60
"58",2064,62,23,53,46
"59",2065,86,72,81,79.6666666666667
"60",2066,65,35,25,41.6666666666667
"61",2067,100,20,60,60
"62",2068,100,75,75,83.3333333333333
"63",2069,80,55,45,60
"64",2070,50,30,0,26.6666666666667
"65",2072,60,30,40,43.3333333333333
"66",2073,60,36,40,45.3333333333333
"67",2074,80,10,25,38.3333333333333
"68",2075,85,65,60,70
"69",2076,86,61,61,69.3333333333333
"70",2077,70,60,40,56.6666666666667
"71",2078,70,40,30,46.6666666666667
"72",2079,74,59,62,65
"73",2080,90,20,15,41.6666666666667
"74",2083,90,30,50,56.6666666666667
"75",2084,17,0,0,5.66666666666667
