"","participant","circular_mean_mountain_p_direction_radian","circular_mean_mountain_p_direction_degrees","target_landmark"
"1",2001,2.68178069825156,153.654715589461,"Mountain Range"
"2",2002,-1.22696917670253,-70.3001554176962,"Mountain Range"
"3",2003,-2.64437207100981,-151.511359131131,"Mountain Range"
"4",2004,-0.811044723488617,-46.4694396522526,"Mountain Range"
"5",2005,0.25112621795924,14.3884724141468,"Mountain Range"
"6",2006,-1.59695750494836,-91.4989250952832,"Mountain Range"
"7",2007,1.44810226795586,82.9701482571933,"Compass North"
"8",2008,-2.00527497260216,-114.893792693316,"Mountain Range"
"9",2011,-1.87621015363007,-107.498923282595,"Compass North"
"10",2012,0.200893829317019,11.5103685500867,"Mountain Range"
"11",2013,-0.883942512498118,-50.6461752983322,"Compass North"
"12",2014,0.256446439055175,14.6932986290204,"Mountain Range"
"13",2015,-1.48066609330654,-84.8359180145887,"Compass North"
"14",2016,-2.14143572446052,-122.695229110128,"Mountain Range"
"15",2017,-0.102018542891819,-5.84523193977558,"Compass North"
"16",2018,-1.92476752098959,-110.281055496561,"Mountain Range"
"17",2019,-0.365694418568788,-20.9527467754821,"Compass North"
"18",2021,0.472900970479827,27.0952297361348,"Compass North"
"19",2022,-1.54364021390887,-88.44406934365,"Mountain Range"
"20",2023,-2.03518625631234,-116.607583009727,"Compass North"
"21",2024,-0.0594305746224611,-3.40512109990432,"Mountain Range"
"22",2025,0.120137370544464,6.88336429399709,"Compass North"
"23",2026,-2.11346120324202,-121.092407110408,"Mountain Range"
"24",2027,0.163553922222709,9.37094946617215,"Compass North"
"25",2028,-1.63078738448755,-93.4372344143151,"Mountain Range"
"26",2029,0.116825078468191,6.693583937512,"Compass North"
"27",2030,-0.551965623402883,-31.6253006572926,"Mountain Range"
"28",2031,0.379050677701223,21.7180040538537,"Compass North"
"29",2033,2.33545972937317,133.811985715848,"Compass North"
"30",2034,-0.0573093032952509,-3.28358120565306,"Mountain Range"
"31",2035,2.50365731915572,143.448997734661,"Mountain Range"
"32",2036,0.417705068317364,23.9327374958087,"Compass North"
"33",2037,-0.230594689184371,-13.2121024683955,"Mountain Range"
"34",2038,-0.0138214123214485,-0.791908592929111,"Mountain Range"
"35",2039,-2.98342125839715,-170.937446615766,"Mountain Range"
"36",2040,-0.501713926782231,-28.7460905275574,"Mountain Range"
"37",2041,-0.22561030472053,-12.9265182751468,"Compass North"
"38",2042,-0.571634161779145,-32.7522248954435,"Mountain Range"
"39",2043,-0.609040926468646,-34.8954746373909,"Compass North"
"40",2044,-1.83165379969601,-104.946032251682,"Mountain Range"
"41",2045,2.15742764563716,123.611498699855,"Compass North"
"42",2046,0.0469627554190172,2.69076767981482,"Compass North"
"43",2047,2.5186399583913,144.307439728827,"Compass North"
"44",2048,-0.349341218625972,-20.0157774372252,"Mountain Range"
"45",2049,0.560751952547139,32.1287202346713,"Mountain Range"
"46",2050,0.434400981446145,24.8893428532049,"Mountain Range"
"47",2051,3.01875928925235,172.962166640072,"Compass North"
"48",2052,2.74594018069317,157.33078314911,"Mountain Range"
"49",2053,2.84857822296185,163.21150978859,"Compass North"
"50",2054,1.91675802486361,109.822145172517,"Mountain Range"
"51",2056,0.287700397198096,16.4840185236883,"Mountain Range"
"52",2057,-0.379796420304829,-21.7607319576434,"Compass North"
"53",2058,0.111173726805689,6.36978533870643,"Mountain Range"
"54",2059,-0.505343140148182,-28.9540291363789,"Compass North"
"55",2060,0.181935242635104,10.4241215476801,"Mountain Range"
"56",2061,-0.317584635689061,-18.196259263183,"Compass North"
"57",2062,-1.7445638929461,-99.9561481567241,"Mountain Range"
"58",2063,-1.33721308964162,-76.616666346114,"Compass North"
"59",2064,-2.58930160073489,-148.356053608577,"Mountain Range"
"60",2065,-0.71704978208444,-41.0839262142138,"Compass North"
"61",2066,-0.921026895584939,-52.7709539350534,"Mountain Range"
"62",2067,-0.340467796733744,-19.5073678129615,"Compass North"
"63",2068,-0.102535086006207,-5.87482768016657,"Mountain Range"
"64",2069,-0.276845059726713,-15.8620535013879,"Compass North"
"65",2070,-1.81023307191693,-103.718714955842,"Mountain Range"
"66",2072,-1.89446757294916,-108.544996354379,"Mountain Range"
"67",2073,-2.54759342893596,-145.966351393292,"Compass North"
"68",2074,-0.690379859129323,-39.5558521889465,"Mountain Range"
"69",2075,-0.492343405149379,-28.209199186159,"Compass North"
"70",2076,-0.613869078346833,-35.1721073628592,"Mountain Range"
"71",2077,-0.0846521973781389,-4.85021363627577,"Compass North"
"72",2078,-0.631050423235277,-36.1565259113257,"Mountain Range"
"73",2079,-0.100516835491217,-5.75919044365752,"Compass North"
"74",2080,-0.319042322343858,-18.2797785563554,"Compass North"
"75",2083,-0.909203807911819,-52.0935409105705,"Mountain Range"
"76",2084,0.28097680940927,16.0987853202029,"Mountain Range"
