"","start_landmark","participant","target_landmark","point_order","participant_response","within_between","participant_360_response","actual_direction","actual_360_direction","mountain_0_p_angle0","error","mountain_0_p_angle360"
"1","Batty House",2011,"Compass North",4,65.36843,"other",65.36843,-176,184,-118.63157,118.63157,241.36843
"2","Batty House",2039,"Mountain Range",2,56.80742,"other",56.80742,-176,184,-127.19258,127.19258,232.80742
"3","Batty House",2015,"Compass North",6,95.23098,"other",95.23098,-176,184,-88.76902,88.76902,271.23098
"4","Batty House",2003,"Mountain Range",5,86.69736,"other",86.69736,-176,184,-97.30264,97.30264,262.69736
"5","Batty House",2067,"Compass North",5,-179.098,"other",180.902,-176,184,-3.09799999999998,3.09799999999998,356.902
"6","Batty House",2049,"Mountain Range",2,-147.3506,"other",212.6494,-176,184,28.6494,28.6494,28.6494
"7","Batty House",2037,"Mountain Range",6,106.6756,"other",106.6756,-176,184,-77.3244,77.3244,282.6756
"8","Batty House",2013,"Compass North",2,86.83244,"other",86.83244,-176,184,-97.16756,97.16756,262.83244
"9","Batty House",2002,"Mountain Range",6,105.7188,"other",105.7188,-176,184,-78.2812,78.2812,281.7188
"10","Batty House",2034,"Mountain Range",7,-177.1552,"other",182.8448,-176,184,-1.15520000000001,1.15520000000001,358.8448
"11","Batty House",2030,"Mountain Range",0,177.8988,"other",177.8988,-176,184,-6.10120000000001,6.10120000000001,353.8988
"12","Batty House",2001,"Mountain Range",7,5.936962,"other",5.936962,-176,184,-178.063038,178.063038,181.936962
"13","Batty House",2062,"Mountain Range",2,22.26104,"other",22.26104,-176,184,-161.73896,161.73896,198.26104
"14","Batty House",2057,"Compass North",1,-179.3045,"other",180.6955,-176,184,-3.30449999999999,3.30449999999999,356.6955
"15","Batty House",2008,"Mountain Range",7,49.92812,"other",49.92812,-176,184,-134.07188,134.07188,225.92812
"16","Batty House",2064,"Mountain Range",3,39.43031,"other",39.43031,-176,184,-144.56969,144.56969,215.43031
"17","Batty House",2054,"Mountain Range",7,-82.01008,"other",277.98992,-176,184,93.98992,93.98992,93.98992
"18","Batty House",2038,"Mountain Range",2,146.7681,"other",146.7681,-176,184,-37.2319,37.2319,322.7681
"19","Batty House",2027,"Compass North",0,-178.4578,"other",181.5422,-176,184,-2.45779999999999,2.45779999999999,357.5422
"20","Batty House",2004,"Mountain Range",0,126.7472,"other",126.7472,-176,184,-57.2528,57.2528,302.7472
"21","Batty House",2065,"Compass North",2,-179.0002,"other",180.9998,-176,184,-3.00020000000001,3.00020000000001,356.9998
"22","Batty House",2060,"Mountain Range",5,-179.7339,"other",180.2661,-176,184,-3.73390000000001,3.73390000000001,356.2661
"23","Batty House",2006,"Mountain Range",5,41.09404,"other",41.09404,-176,184,-142.90596,142.90596,217.09404
"24","Batty House",2073,"Compass North",7,2.121633,"other",2.121633,-176,184,-181.878367,178.121633,178.121633
"25","Batty House",2059,"Compass North",1,178.3151,"other",178.3151,-176,184,-5.6849,5.6849,354.3151
"26","Batty House",2041,"Compass North",5,-179.39,"other",180.61,-176,184,-3.38999999999999,3.38999999999999,356.61
"27","Batty House",2029,"Compass North",4,176.6382,"other",176.6382,-176,184,-7.36179999999999,7.36179999999999,352.6382
"28","Batty House",2052,"Mountain Range",3,0,"other",0,-176,184,-184,176,176
"29","Batty House",2051,"Compass North",5,-0.2676108,"other",359.7323892,-176,184,175.7323892,175.7323892,175.7323892
"30","Batty House",2028,"Mountain Range",5,73.69632,"other",73.69632,-176,184,-110.30368,110.30368,249.69632
"31","Batty House",2005,"Mountain Range",3,176.6138,"other",176.6138,-176,184,-7.3862,7.3862,352.6138
"32","Batty House",2080,"Compass North",0,-179.8381,"other",180.1619,-176,184,-3.8381,3.8381,356.1619
"33","Batty House",2061,"Compass North",2,179.4195,"other",179.4195,-176,184,-4.5805,4.5805,355.4195
"34","Batty House",2035,"Mountain Range",5,-44.09156,"other",315.90844,-176,184,131.90844,131.90844,131.90844
"35","Batty House",2026,"Mountain Range",5,41.49737,"other",41.49737,-176,184,-142.50263,142.50263,217.49737
"36","Batty House",2056,"Mountain Range",2,-75.58596,"other",284.41404,-176,184,100.41404,100.41404,100.41404
"37","Batty House",2047,"Compass North",3,0.6996954,"other",0.6996954,-176,184,-183.3003046,176.6996954,176.6996954
"38","Batty House",2024,"Mountain Range",4,-44.32201,"other",315.67799,-176,184,131.67799,131.67799,131.67799
"39","Batty House",2007,"Compass North",4,-128.9711,"other",231.0289,-176,184,47.0289,47.0289,47.0289
"40","Batty House",2075,"Compass North",3,-178.8557,"other",181.1443,-176,184,-2.85570000000001,2.85570000000001,357.1443
"41","Batty House",2031,"Compass North",6,-179.0341,"other",180.9659,-176,184,-3.0341,3.0341,356.9659
"42","Batty House",2016,"Mountain Range",3,26.88181,"other",26.88181,-176,184,-157.11819,157.11819,202.88181
"43","Batty House",2079,"Compass North",2,-158.8673,"other",201.1327,-176,184,17.1327,17.1327,17.1327
"44","Batty House",2058,"Mountain Range",1,59.35558,"other",59.35558,-176,184,-124.64442,124.64442,235.35558
"45","Batty House",2045,"Compass North",2,-176.0053,"other",183.9947,-176,184,-0.00530000000000541,0.00530000000000541,359.9947
"46","Batty House",2022,"Mountain Range",7,56.3045,"other",56.3045,-176,184,-127.6955,127.6955,232.3045
"47","Batty House",2018,"Mountain Range",5,77.88929,"other",77.88929,-176,184,-106.11071,106.11071,253.88929
"48","Batty House",2074,"Mountain Range",4,114.4004,"other",114.4004,-176,184,-69.5996,69.5996,290.4004
"49","Batty House",2023,"Compass North",2,92.45967,"other",92.45967,-176,184,-91.54033,91.54033,268.45967
"50","Batty House",2021,"Compass North",6,178.4171,"other",178.4171,-176,184,-5.5829,5.5829,354.4171
"51","Batty House",2072,"Mountain Range",0,28.56829,"other",28.56829,-176,184,-155.43171,155.43171,204.56829
"52","Batty House",2053,"Compass North",7,-2.668732,"other",357.331268,-176,184,173.331268,173.331268,173.331268
"53","Batty House",2046,"Compass North",4,-179.6294,"other",180.3706,-176,184,-3.6294,3.6294,356.3706
"54","Batty House",2078,"Mountain Range",7,115.127,"other",115.127,-176,184,-68.873,68.873,291.127
"55","Batty House",2070,"Mountain Range",6,58.02201,"other",58.02201,-176,184,-125.97799,125.97799,234.02201
"56","Batty House",2050,"Mountain Range",3,-148.9561,"other",211.0439,-176,184,27.0439,27.0439,27.0439
"57","Batty House",2025,"Compass North",6,-179.0087,"other",180.9913,-176,184,-3.0087,3.0087,356.9913
"58","Batty House",2017,"Compass North",0,-178.6643,"other",181.3357,-176,184,-2.6643,2.6643,357.3357
"59","Batty House",2077,"Compass North",2,-179.5563,"other",180.4437,-176,184,-3.55629999999999,3.55629999999999,356.4437
"60","Batty House",2069,"Compass North",0,-178.7614,"other",181.2386,-176,184,-2.76140000000001,2.76140000000001,357.2386
"61","Batty House",2043,"Compass North",2,146.3911,"other",146.3911,-176,184,-37.6089,37.6089,322.3911
"62","Batty House",2076,"Mountain Range",7,102.9903,"other",102.9903,-176,184,-81.0097,81.0097,278.9903
"63","Batty House",2063,"Compass North",3,-179.0978,"other",180.9022,-176,184,-3.09780000000001,3.09780000000001,356.9022
"64","Batty House",2048,"Mountain Range",6,-164.0246,"other",195.9754,-176,184,11.9754,11.9754,11.9754
"65","Batty House",2036,"Compass North",2,177.8946,"other",177.8946,-176,184,-6.1054,6.1054,353.8946
"66","Batty House",2012,"Mountain Range",5,-150.6561,"other",209.3439,-176,184,25.3439,25.3439,25.3439
"67","Batty House",2044,"Mountain Range",0,-87.19341,"other",272.80659,-176,184,88.80659,88.80659,88.80659
"68","Batty House",2033,"Compass North",5,-2.260273,"other",357.739727,-176,184,173.739727,173.739727,173.739727
"69","Batty House",2014,"Mountain Range",3,-138.882,"other",221.118,-176,184,37.118,37.118,37.118
