"participant","mean_other_pointing_error","degrees_range","circular_mean_mountain_p_direction_degrees","target_landmark"
2001,126.5908785,178.57981,153.654715589461,"Mountain Range"
2002,74.799768625,117.785331,-70.3001554176962,"Mountain Range"
2003,104.854215,244.33734,-151.511359131131,"Mountain Range"
2004,46.54687625,87.10812,-46.4694396522526,"Mountain Range"
2005,17.711164625,40.3108,14.3884724141468,"Mountain Range"
2006,94.8394175,141.37892,-91.4989250952832,"Mountain Range"
2007,84.58327375,199.15426,82.9701482571933,"Compass North"
2008,114.957016,68.09976,-114.893792693316,"Mountain Range"
2011,103.1766455,213.08967,-107.498923282595,"Compass North"
2012,20.756635,83.7607,11.5103685500867,"Mountain Range"
2013,65.781685,210.9846,-50.6461752983322,"Compass North"
2014,25.02702375,77.9571,14.6932986290204,"Mountain Range"
2015,87.90974925,274.869446,-84.8359180145887,"Compass North"
2016,114.03259625,192.93444,-122.695229110128,"Mountain Range"
2017,10.238385,50.0227299999999,-5.84523193977558,"Compass North"
2018,110.25636375,76.33612,-110.281055496561,"Mountain Range"
2019,24.70847625,58.90273,-20.9527467754821,"Compass North"
2021,34.423988,132.124914,27.0952297361348,"Compass North"
2022,90.69282,144.10597,-88.44406934365,"Mountain Range"
2023,106.56594875,176.63025,-116.607583009727,"Compass North"
2024,71.827535,251.79817,-3.40512109990432,"Mountain Range"
2025,8.404511825,30.0888346,6.88336429399709,"Compass North"
2026,108.2366175,248.70506,-121.092407110408,"Mountain Range"
2027,50.17560625,236.291578932344,9.37094946617215,"Compass North"
2028,92.96082875,210.66471,-93.4372344143151,"Mountain Range"
2029,29.94780625,170.46039,6.693583937512,"Compass North"
2030,45.66660625,178.27487,-31.6253006572926,"Mountain Range"
2031,59.090975,245.08696,21.7180040538537,"Compass North"
2033,103.258308375,286.64724,133.811985715848,"Compass North"
2034,54.43646625,273.76618,-3.28358120565306,"Mountain Range"
2035,115.89623625,178.5606,143.448997734661,"Mountain Range"
2036,46.9399775,188.37825,23.9327374958087,"Compass North"
2037,38.99287,130.25373,-13.2121024683955,"Mountain Range"
2038,24.20581375,83.3076,-0.791908592929111,"Mountain Range"
2039,114.766659625,255.87827,-170.937446615766,"Mountain Range"
2040,58.90677,216.48041,-28.7460905275574,"Mountain Range"
2041,15.6324825,49.17352,-12.9265182751468,"Compass North"
2042,60.3392175,183.22071,-32.7522248954435,"Mountain Range"
2043,48.60656375,178.43547,-34.8954746373909,"Compass North"
2044,95.3355445,231.5167,-104.946032251682,"Mountain Range"
2045,90.96925,208.12259,123.611498699855,"Compass North"
2046,26.09986125,140.39628,2.69076767981482,"Compass North"
2047,95.110274425,253.29714,144.307439728827,"Compass North"
2048,35.17316125,114.32347,-20.0157774372252,"Mountain Range"
2049,34.987725,87.6387399999999,32.1287202346713,"Mountain Range"
2050,63.14208125,274.995,24.8893428532049,"Mountain Range"
2051,117.8589624,252.9811,172.962166640072,"Compass North"
2052,126.13024,251.93138,157.33078314911,"Mountain Range"
2053,108.3229535,256.85677,163.21150978859,"Compass North"
2054,100.15507625,258.41511,109.822145172517,"Mountain Range"
2056,67.3014675,279.0354,16.4840185236883,"Mountain Range"
2057,38.9088425,169.38208,-21.7607319576434,"Compass North"
2058,87.19764875,238.523329322587,6.36978533870643,"Mountain Range"
2059,67.834645,259.43189,-28.9540291363789,"Compass North"
2060,12.28007325,35.2933,10.4241215476801,"Mountain Range"
2061,40.15663625,224.1449,-18.196259263183,"Compass North"
2062,103.71869875,116.69501,-99.9561481567241,"Mountain Range"
2063,80.544031625,217.82864,-76.616666346114,"Compass North"
2064,113.77762625,248.86547,-148.356053608577,"Mountain Range"
2065,49.84285625,151.6221,-41.0839262142138,"Compass North"
2066,62.4830325,175.29249,-52.7709539350534,"Mountain Range"
2067,23.96836375,93.0309,-19.5073678129615,"Compass North"
2068,22.15737875,67.1138400000001,-5.87482768016657,"Mountain Range"
2069,19.308365,70.51385,-15.8620535013879,"Compass North"
2070,97.651271875,253.606629,-103.718714955842,"Mountain Range"
2072,106.872597125,111.6133,-108.544996354379,"Mountain Range"
2073,122.832188,225.059814,-145.966351393292,"Compass North"
2074,39.454103,65.4334,-39.5558521889465,"Mountain Range"
2075,29.39364125,69.8806,-28.209199186159,"Compass North"
2076,67.66027875,257.52132,-35.1721073628592,"Mountain Range"
2077,24.26470375,161.00177,-4.85021363627577,"Compass North"
2078,36.167735,65.3618,-36.1565259113257,"Mountain Range"
2079,20.9383675,65.78712,-5.75919044365752,"Compass North"
2080,21.1121875,53.70838,-18.2797785563554,"Compass North"
2083,52.23365125,53.82246,-52.0935409105705,"Mountain Range"
2084,19.32344625,46.21416,16.0987853202029,"Mountain Range"
